,CONSTITUENCY-WISE DETAILED RESULTS,,,
,NWFP PROVINCE,,,
SL.No.,Constesting candidates,Party Affiliation,Votes Polled,
,NA-1 PESHAWAR-I,,,
1,Rabia Mufti Advocate,Pak Wattan Party,478,
2,Mr.Sajid Abdullah,Pakistan Tehreek-e-Insaf,2029,
3,Mr.Shabir Ahmad,Muttahidda Majlis-e-Amal Pakistan,37179,
4,Mr.Usman Bashir Bilour,Awami National Party,23002,
5,Mr.Muhammad Khurshid Khan Advocate ,Independent,1537,
6,Mr.Muhammad Muazzam Butt,Pakistan Muslim League(QA),1417,
,,Valid Votes,65642,
,,Rejected Votes,1552,
,,Total Votes,67194,
,,Registered Voters,233907,
,,Percentage of Votes Polled to Registered Voters,28.73,%
,NA-2 PESHAWAR -II,,,
1,Mr.Khalid Ayub,Pakistan Awami Tehreek,1575,
2,Dr. Arbab Alamgir Khan ,Pakistan Peoples Party Parliamentarians,15771,
3,Mr.Abdul Manan Akhunzada Advocate ,Pakistan Peoples party(Sherpao),926,
4,Maulana Rehmat Ullah,Muttahidda Majlis-e-Amal Pakistan,37728,
,,Valid Votes,56000,
,,Rejected Votes,1367,
,,Total Votes,57367,
,,Registered Voters,216587,
,,Percentage of Votes Polled to Registered Voters,26.49,%
,NA-3 PESHAWAR -III,,,
1,Mr.Akhtar Ali Khan Nahaqi,Independent,183,
2,Mr.Arbab Muhammad Ayub Jan,National Alliance,8838,
3,Mr.Iqbal Zafar Jhagra,Pakistan Muslim League(N),5956,
4,Mr.Saleem Akbar Khan,Pakistan Awami Tehreek,748,
5,Qari Fayazur Rehman Alvi,Muttahidda Majlis-e-Amal Pakistan,33567,
6,Mr.Kiramatullah Khan,Pakistan Peoples Party Parliamentarians,14662,
7,Mr.Hidayatullah Khan,Pakistan Peoples party(Sherpao),3403,
,,Valid Votes,67357,
,,Rejected Votes,1955,
,,Total Votes,69312,
,,Registered Voters,226299,
,,Percentage of Votes Polled to Registered Voters,30.63,%
,NA-4 PESHAWAR -IV,,,
1,Mr.Sabir Hussain Awan,Muttahidda Majlis-e-Amal Pakistan,28728,
2,Mr.Arbab Muhammad Zahir Khan,Awami National Party,16660,
3,Mr.Arbab Shabeer Ahmad Advocate ,Pakistan Muslim League(QA),6266,
4,Haji Abdur Raziq ,Pakistan Muslim League(N),4887,
5,Haji Javed Iqbal Barki,Pakistan Tehreek-e-Insaf,4500,
6,Mr.Muhammad Intikhab Khan,Pakistan Muslim League(Z),2556,
,,Valid Votes,63597,
,,Rejected Votes,2226,
,,Total Votes,65823,
,,Registered Voters,222276,
,,Percentage of Votes Polled to Registered Voters,29.61,%
,,Asghar/Tanveer,,
,NA-5 NOWSHERA -I,,,
1,Qazi Hussain Ahmad,Muttahidda Majlis-e-Amal Pakistan,40879,
2,Mian Rashid Ali Shah,Awami National Party,11944,
3,Mr.Naseer Ullah Khan Babar,Pakistan Peoples Party Parliamentarians,22189,
,,Valid Votes,75012,
,,Rejected Votes,2153,
,,Total Votes,77165,
,,Registered Voters,206271,
,,Percentage of Votes Polled to Registered Voters,37.41,%
,NA-6 Nowshera-II,,,
1,Mr.Afsar Shah,National Alliance,931,
2,Haji Sher Zada Khan,Awami National Party,9355,
3,Maulana Hamid-ul-Haq Haqani,Muttahidda Majlis-e-Amal Pakistan,33242,
4,Mian Muzaffar Shah,Pakistan Peoples Party(Sherpao),5810,
5,Mr.Naseer Ullah Khan Babar,Pakistan Peoples Party Parliamentarians,16655,
,,Valid Votes,65993,
,,Rejected Votes ,2467,
,,Total Votes ,68460,
,,Registered Voters,194949,
,,Percentage of Votes Polled to Registered Voters,35.12,%
,NA-7 Charsadda-I,,,
1,Mr.Asfandyar Wali Khan,Awami National Party,31364,
2,Maulana Muhammad Gohar Shah,Muttahidda Majlis-e-Amal Pakistan,55917,
,,Valid Votes,87281,
,,Rejected Votes ,2099,
,,Total Votes ,89380,
,,Registered Voters,242084,
,,Percentage of Votes Polled to Registered Voters,36.92,%
,NA-8 Charsdda-II,,,
