Constituency_No,Constituency_Name,Valid_Votes,Rejected_Votes,Total_Votes,Registered_Voters,Turnout(%),Year
NA-1,PESHAWAR-I,65642,1552,67194,233907,28.73,2002
NA-2,PESHAWAR-II,56000,1367,57367,216587,26.49,2002
NA-3,PESHAWAR-III,67357,1955,69312,226299,30.63,2002
NA-4,PESHAWAR-IV,63597,2226,65823,222276,29.61,2002
NA-5,NOWSHERA-I,75012,2153,77165,206271,37.41,2002
NA-6,Nowshera-II,65993,2467,68460,194949,35.12,2002
NA-7,Charsadda-I,87281,2099,89380,242084,36.92,2002
NA-8,Charsdda-II,62739,1673,64412,217430,29.62,2002
NA-9,Mardan-I,77668,1722,79390,221113,35.9,2002
NA-10,Mardan-II,87691,1713,89404,223817,39.95,2002
NA-11,Mardan-III,72303,1757,74060,223487,33.14,2002
NA-12,Sawabi-I,86830,2009,88839,236270,37.6,2002
NA-13,Sawabi-II,88935,2515,91450,237950,38.43,2002
NA-14,Kohat,95825,3748,99573,317082,31.4,2002
NA-15,Karak,95644,1780,97424,251508,38.74,2002
NA-16,Hangu,44976,1249,46225,160984,28.71,2002
NA-17,Abbottabad-I,109254,3375,112629,284297,39.62,2002
NA-18,Abbottabad-II,114080,3200,117280,323694,36.23,2002
NA-19,Haripur,199787,6277,206064,453508,45.44,2002
NA-20,Mansehra-I,117395,3379,120774,327352,36.89,2002
NA-21,Mansehra-II,103797,1836,105633,310360,34.04,2002
NA-22,Batagram,45792,1422,47214,139808,33.77,2002
NA-23,Kohistan,39592,1012,40604,251512,16.14,2002
NA-24,D.I.Khan,110608,2445,113053,267513,42.26,2002
NA-25,D.I.Khancum-Tank,117651,3622,121273,271364,44.69,2002
NA-26,Bannu,112496,2108,114604,297451,38.53,2002
NA-27,LakkiMarwat,107109,2078,109187,234619,46.54,2002
NA-28,Buner,73731,2670,76401,269067,28.39,2002
NA-29,Sawat-I,97986,2465,100451,314521,31.94,2002
NA-30,Sawat-II,99169,3134,102303,315636,32.41,2002
NA-31,Shangla,60085,1677,61762,225373,27.4,2002
NA-32,Chitral,81415,2572,83987,170954,49.13,2002
NA-33,UpperDir(Recheck),71934,2581,74515,230952,32.26,2002
NA-34,LowerDir,90673,2072,92745,327902,28.28,2002
NA-35,MalakandProtectedArea,69576,1915,71491,206496,34.62,2002
NA-36,TribalArea-I,24648,341,24989,108081,23.12,2002
